Runt;principal;https://www.runt.gov.co/
Runt;vehiculo;https://www.runt.gov.co/consultaCiudadana/#/consultaVehiculo
Runt;persona;https://www.runt.gov.co/consultaCiudadana/#/consultaPersona
Runt;liquidacion;https://www.runt.gov.co/runt/appback/LiquidacionWeb/#/
Runt;pagos;https://www.runt.gov.co/runt/apprnlt/consulta/portalpagos/#/solicitud
Portafoleo;link;https://sites.google.com/view/portafolio-javarturs
Seg. Social;fosyga;https://www.adres.gov.co/consulte-su-eps
Seg. Social;aportes_en_linea;https://www.aportesenlinea.com/Home/home.aspx?ReturnUrl=%2flistaBancos.aspx
Soat;Seguros Mundial;https://soatmundial.com.co/renovacionsoat/
Soat;Seg del Estado;https://cotizadorsoat.segurosdelestado.com/CotizadorSoat/EmisionContenedor.html
Soat;R5;https://www.grupor5.com/pagar-el-soat-online
Soat;Previsora;https://www.previsora.gov.co/cotizar-soat1
